time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
0.000000000000000000e+00,1.000000000000000000e+00,7.075459479908947067e+20,2.906670353804853835e-01,0.000000000000000000e+00,4.335262237771667082e-02,1.571841851494696438e+08,0.000000000000000000e+00,1.571841851494696438e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+09,-5.799828290799696810e+33,-9.981337820876872194e+31,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,6.113292879886081209e+05
5.000000000000000000e-01,1.000000000000000000e+00,7.080047343713634222e+20,2.908555094682283015e-01,2.211951735023079018e-12,4.343102519103018977e-02,1.574684512825939357e+08,2.169590550515055656e+04,1.574684512825939357e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.001946519227354169e+09,-5.814084747452532613e+33,-1.000725137603552829e+32,1.393342338793118178e+31,0.000000000000000000e+00,0.000000000000000000e+00,2.214298304089352953e+01,1.066197729888819527e+41,1.961747432280803239e+40,nan,nan,6.125192522019227035e+05
1.000000000000000000e+00,1.000000000000000000e+00,7.084638182377319301e+20,2.910441057661892206e-01,9.192560698035091586e-12,4.350958144207345973e-02,1.577532737369555533e+08,4.343105076399445534e+04,1.577532737369555533e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.003896827391810775e+09,-5.828377807836673916e+33,-1.003323220798142200e+32,5.798046860170002278e+31,0.000000000000000000e+00,0.000000000000000000e+00,3.949568272010561998e+01,1.409500668937438300e+41,2.517455947148334264e+40,nan,nan,6.137115327034582151e+05
1.500000000000000000e+00,1.000000000000000000e+00,7.089231997828954849e+20,2.912328243536115302e-01,1.953330147086533087e-11,4.358829142940221640e-02,1.580386535950320363e+08,6.520551256993412971e+04,1.580386535950320363e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.005850931868608832e+09,-5.842707566774048410e+33,-1.005928049137859801e+32,1.233627082106657303e+32,0.000000000000000000e+00,0.000000000000000000e+00,5.313811294645128669e+01,1.625458668648341351e+41,2.828843390483279989e+40,nan,nan,6.149061340019145282e+05
2.000000000000000000e+00,1.000000000000000000e+00,7.093828791998750392e+20,2.914216653097900789e-01,3.261269929418315139e-11,4.366715545215331395e-02,1.583245919414078593e+08,8.701936786594986916e+04,1.583245919414078593e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.007808840047343016e+09,-5.857074119332635680e+33,-1.008539640134453965e+32,2.062329316440051904e+32,0.000000000000000000e+00,0.000000000000000000e+00,6.483239807957718881e+01,1.786013740313732612e+41,3.039388847296382054e+40,nan,nan,6.161030606147672515e+05
2.500000000000000000e+00,1.000000000000000000e+00,7.098428566818163261e+20,2.916106287140712294e-01,4.806201708702819035e-11,4.374617381004591854e-02,1.586110898627788723e+08,1.088726937445998192e+05,1.586110898627788723e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.009770559331992745e+09,-5.871477560827132442e+33,-1.011158011345140106e+32,3.043240605999207805e+32,0.000000000000000000e+00,0.000000000000000000e+00,7.527161057749538031e+01,1.915030712800413433e+41,3.195437726467612739e+40,nan,nan,6.173023170682856580e+05
3.000000000000000000e+00,1.000000000000000000e+00,7.103031324219903836e+20,2.917997146458525259e-01,6.562661964938578196e-11,4.382534680338259769e-02,1.588981484479561150e+08,1.307655674485564232e+05,1.588981484479561150e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.011736097140948534e+09,-5.885917986819586651e+33,-1.013783180372712586e+32,4.160804961774694347e+32,0.000000000000000000e+00,0.000000000000000000e+00,8.481476375220034924e+01,2.023538593644416942e+41,3.317747091702988851e+40,nan,nan,6.185039078975493321e+05
3.500000000000000000e+00,1.000000000000000000e+00,7.107637066137934234e+20,2.919889231845831934e-01,8.511641441170513288e-11,4.390467473305051382e-02,1.591857687878701985e+08,1.526980663707256317e+05,1.591857687878701985e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.013705460907041669e+09,-5.900395493120033913e+33,-1.016415164865668839e+32,5.403481531770734904e+32,0.000000000000000000e+00,0.000000000000000000e+00,9.367670449554002232e+01,2.117584971868746008e+41,3.417341026466297106e+40,nan,nan,6.197078376464655157e+05
4.000000000000000000e+00,1.000000000000000000e+00,7.112245794507474862e+20,2.921782544097639711e-01,1.063815027507790702e-10,4.398415790052250668e-02,1.594739519755752385e+08,1.746702680546045303e+05,1.594739519755752385e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.015678658077571154e+09,-5.914910175787146581e+33,-1.019053982518323578e+32,6.762223166374952029e+32,0.000000000000000000e+00,0.000000000000000000e+00,1.019981751290100362e+02,2.200859610685809893e+41,3.500737453537648566e+40,nan,nan,6.209141108677864540e+05
4.500000000000000000e+00,1.000000000000000000e+00,7.116857511264996557e+20,2.923677084009471128e-01,1.292992396600279761e-10,4.406379660785825214e-02,1.597626991062531173e+08,1.966822501945495605e+05,1.597626991062531173e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.017655696114332557e+09,-5.929462131128881694e+33,-1.021699651070930574e+32,8.229669161210244635e+32,0.000000000000000000e+00,0.000000000000000000e+00,1.098774770346973355e+02,2.275787209785908825e+41,3.572090184730153795e+40,nan,nan,6.221227321231262758e+05
5.000000000000000000e+00,1.000000000000000000e+00,7.121472218348227133e+20,2.925572852377364419e-01,1.537667523716254321e-10,4.414359115770542102e-02,1.600520112772174776e+08,2.187340906361937523e+05,1.600520112772174776e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.019636582493645549e+09,-5.944051455703115085e+33,-1.024352188309798852e+32,9.799679556617280738e+32,0.000000000000000000e+00,0.000000000000000000e+00,1.173864061832035759e+02,2.344048874696388195e+41,3.634194967957420171e+40,nan,nan,6.233337059829779901e+05
5.500000000000000000e+00,1.000000000000000000e+00,7.126089917696154010e+20,2.927469849997874074e-01,1.796958842784659453e-10,4.422354185330079623e-02,1.603418895879180431e+08,2.408258673765361309e+05,1.603418895879180431e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.021621324706383228e+09,-5.958678246318304314e+33,-1.027011612067417703e+32,1.146702053619468831e+33,0.000000000000000000e+00,0.000000000000000000e+00,1.245793687850625560e+02,2.406860296919567508e+41,3.689016140223761895e+40,nan,nan,6.245470370267318795e+05
6.000000000000000000e+00,1.000000000000000000e+00,7.130710611249013719e+20,2.929368077668070280e-01,2.070098346425340593e-10,4.430364899847142462e-02,1.606323351399446428e+08,2.629576585643887520e+05,1.606323351399446428e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.023609930257999063e+09,-5.973342600034137758e+33,-1.029677940222569462e+32,1.322715569990118769e+33,0.000000000000000000e+00,0.000000000000000000e+00,1.314987534994215252e+02,2.465129916074957586e+41,3.737981207381590496e+40,nan,nan,6.257627298426913330e+05
