time_myr,analytic_z6_msun,z3_chabrier_growth1,z3_chabrier_growth0,z3_topheavy_growth1,z3_topheavy_growth0,z6_chabrier_growth1,z6_chabrier_growth0,z6_topheavy_growth1,z6_topheavy_growth0,z9_chabrier_growth1,z9_chabrier_growth0,z9_topheavy_growth1,z9_topheavy_growth0
4.350000000000000000e+01,2.559322691968207092e+11,2.616495336363109436e+11,2.838865466377120361e+11,1.959800104111726562e+12,2.125042313014467773e+12,3.260447718764922485e+11,4.566605774575533447e+11,2.444557399180208984e+12,3.415032552153742188e+12,2.794651316099073486e+11,6.450626789426679688e+11,2.101105765562403809e+12,4.818152839673176758e+12
4.400000000000000000e+01,2.627789339464846497e+11,2.686923682281379700e+11,2.918054459060457153e+11,2.009841813700143799e+12,2.181352140285072998e+12,3.340429725959660034e+11,4.697376401052186279e+11,2.501202121824826172e+12,3.507990756146425781e+12,2.848579033699959717e+11,6.641441300905948486e+11,2.138930606627489502e+12,4.953738262482111328e+12
4.450000000000000000e+01,2.697282838074105530e+11,2.758396281081708984e+11,2.998527896161807251e+11,2.060538127910672119e+12,2.238477722344772949e+12,3.421309226604566650e+11,4.830403148273056030e+11,2.558379830150973145e+12,3.602390881790348633e+12,2.902628857945704956e+11,6.835795799128937988e+11,2.176762754197415527e+12,5.091601678825689453e+12
4.500000000000000000e+01,2.767806791073979492e+11,2.830915899859658203e+11,3.080292330960675049e+11,2.111889004938171387e+12,2.296421214938712402e+12,3.503081401080585327e+11,4.965701315748239746e+11,2.616085430911598633e+12,3.698239313177309570e+12,2.956789298335519409e+11,7.033721420100187988e+11,2.214594027109743164e+12,5.231757999817219727e+12
4.550000000000000000e+01,2.839364773913173828e+11,2.904485259756271973e+11,3.163354287387502441e+11,2.163894377534753662e+12,2.355184751339355957e+12,3.585741367117357178e+11,5.103286194459090576e+11,2.674313816553486816e+12,3.795542412260841797e+12,3.011048986896169434e+11,7.235249390850018311e+11,2.252416372525087891e+12,5.374222150671345703e+12
4.600000000000000000e+01,2.911960334731734619e+11,2.979107045516558838e+11,3.247720270429841309e+11,2.216554157194294434e+12,2.414770446857007324e+12,3.669284192134191895e+11,5.243173083992639771e+11,2.733059870664497070e+12,3.894306526209709961e+12,3.065396687961658325e+11,7.440411054763177490e+11,2.290221869347397949e+12,5.519009081433151367e+12
4.650000000000000000e+01,2.985596994866336060e+11,3.054783904473691406e+11,3.333396764867003174e+11,2.269868233965002441e+12,2.475180398527147949e+12,3.753704892752057495e+11,5.385377290395446167e+11,2.792318468109819824e+12,3.994537986798026367e+12,3.119821297697621460e+11,7.649237868762639160e+11,2.328002727388666016e+12,5.666133766089594727e+12
4.700000000000000000e+01,3.060278249340850220e+11,3.131518445504375610e+11,3.420390233964668579e+11,2.323836476263193848e+12,2.536416684797237793e+12,3.838998434287246094e+11,5.529914123949252930e+11,2.852084475171315918e+12,4.096243109791274902e+12,3.174311843603908081e+11,7.861761400357779541e+11,2.365751286526856934e+12,5.815611201668560547e+12
4.750000000000000000e+01,3.136007567342779541e+11,3.209313237956260986e+11,3.508707118130144653e+11,2.378458730688953125e+12,2.598481365213731445e+12,3.925159730228216553e+11,5.676798896869228516e+11,2.912352749690598633e+12,4.199428194329485840e+12,3.228857483997154541e+11,8.078013324557044678e+11,2.403460015857813965e+12,5.967456407327299805e+12
4.800000000000000000e+01,3.212788392686101074e+11,3.288170810686105347e+11,3.598353833682587891e+11,2.433734821898501953e+12,2.661376480170399414e+12,4.012183641860659180e+11,5.826046921181339111e+11,2.973118141280938965e+12,4.304099522409329590e+12,3.283447507598854980e+11,8.298025421022617188e+11,2.441121512890554199e+12,6.121684423580308594e+12
4.850000000000000000e+01,3.290624144261053467e+11,3.368093663507039185e+11,3.689336785455918579e+11,2.489664557347086914e+12,2.725104056086150879e+12,4.100064992592900391e+11,5.977673529646423340e+11,3.034375497305932129e+12,4.410263367410583008e+12,3.338071344177897949e+11,8.521829605231732178e+11,2.478728507077823242e+12,6.278310324868869141e+12
