mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
1.779471798422739559e-01,1.030629552359545176e-01,2.139693115348454299e-91,9.218203190293813735e-275,4.316443968009054721e+00,3.185901936068436324e-89,1.808839057678138027e-272
1.792219175221875516e-01,1.034815839681257066e-01,2.246790523818303117e-90,1.171874215495712485e-271,4.303150882187133597e+00,3.321570601588378240e-88,2.283151019450375418e-269
1.805057868790067299e-01,1.038857615658974887e-01,2.296832865047695707e-89,1.373462646273141375e-268,4.289231869537505126e+00,3.371400045009381643e-87,2.656871087380798773e-266
1.817988533281691965e-01,1.042754897707601908e-01,2.286568157939987946e-88,1.485438542399456126e-265,4.274700821703993014e+00,3.332460695121895483e-86,2.853042942619360980e-263
1.831011827537206982e-01,1.046507770137176385e-01,2.217469146044836501e-87,1.483852743417704542e-262,4.259571705464976432e+00,3.208769051217641440e-85,2.829726188818199387e-260
1.844128415116722819e-01,1.050116382762991962e-01,2.095457910834198248e-86,1.370304226635926864e-259,4.243858549760471277e+00,3.010646786797277872e-84,2.594601097493660229e-257
1.857338964333812570e-01,1.053580949493087421e-01,1.930083053712161592e-85,1.170902185700701935e-256,4.227575433049988618e+00,2.753321030370568894e-83,2.201274521137737369e-254
1.870644148289559439e-01,1.056901746895400063e-01,1.733305354791159159e-84,9.265836059836951953e-254,4.210736471005652959e+00,2.455025023139025141e-82,1.729570192797460025e-251
1.884044644906860133e-01,1.060079112746856039e-01,1.518102435971468121e-83,6.796535414405318215e-251,4.193355804544527388e+00,2.134921503092981678e-81,1.259624659862225605e-248
1.897541136964958075e-01,1.063113444566570337e-01,1.297111967965161191e-82,4.624915848679015699e-248,4.175447588203226701e+00,1.811166141503534940e-80,8.510545445380364908e-246
1.911134312134237234e-01,1.066005198135301368e-01,1.081499487354788985e-81,2.922156125294399958e-245,4.157025978857363135e+00,1.499364183219772215e-79,5.338963672168161641e-243
1.924824863011259379e-01,1.068754886003232957e-01,8.801735566098557791e-81,1.715742760878164182e-242,4.138105124787648137e+00,1.211571701500160874e-78,3.112473877853743994e-240
1.938613487154050852e-01,1.071363075988093494e-01,6.993954096526213211e-80,9.369400590942502938e-240,4.118699155093938025e+00,9.558804334379668903e-78,1.687583761161338285e-237
1.952500887117648853e-01,1.073830389665571539e-01,5.427597829468632461e-79,4.762553862183576762e-237,4.098822169457861264e+00,7.365266138071100373e-77,8.517132829255529623e-235
1.966487770489892539e-01,1.076157500853908294e-01,4.114713339816208804e-78,2.255225530992057130e-234,4.078488228254140147e+00,5.543963454546504957e-76,4.004455661748073185e-232
1.980574849927479453e-01,1.078345134094504110e-01,3.048132536778866217e-77,9.956611386974534232e-232,4.057711343010197425e+00,4.077693800925346622e-75,1.755355387770236335e-229
1.994762843192276203e-01,1.080394063130294263e-01,2.207010672586823100e-76,4.101570441644890555e-229,4.036505467213074461e+00,2.931468200498631878e-74,7.179656467049119469e-227
2.009052473187887544e-01,1.082305109383605163e-01,1.562298573964727741e-75,1.577783653159689061e-226,4.014884487462309082e+00,2.060367925738709092e-73,2.742211400643131298e-224
2.023444467996494411e-01,1.084079140435120076e-01,1.081493885310882572e-74,5.672064079246387177e-224,3.992862214966820478e+00,1.416135475603883153e-72,9.788014373712612599e-222
2.037939560915944248e-01,1.085717068505537564e-01,7.323095140347826320e-74,1.907063296932727466e-221,3.970452377383590470e+00,9.520842932145094351e-72,3.267522356379228402e-219
2.052538490497119172e-01,1.087219848941431560e-01,4.851597428496630697e-73,6.001357553628710862e-219,3.947668610995340277e+00,6.262755705181572431e-71,1.020946423522120725e-216
2.067242000581565597e-01,1.088588478706763868e-01,3.145588948605011323e-72,1.768970845533879074e-216,3.924524453224165654e+00,4.031648623952056340e-70,2.987955430895051228e-214
2.082050840339391140e-01,1.089823994881439911e-01,1.996423866994958923e-71,4.887663342083318589e-214,3.901033335477659847e+00,2.540583347794827654e-69,8.196995831302552613e-212
2.096965764307440472e-01,1.090927473168232381e-01,1.240630158356126383e-70,1.266806616126583369e-211,3.877208576323711853e+00,1.567555832132454550e-68,2.109423318761333929e-209
2.111987532427737624e-01,1.091900026409339391e-01,7.550483224390871358e-70,3.082216645588599800e-209,3.853063374989904588e+00,9.472299491915850906e-68,5.095849243356103183e-207
2.127116910086206680e-01,1.092742803113785910e-01,4.501454282992461644e-69,7.044847395595192203e-207,3.828610805183080057e+00,5.607038107608698074e-67,1.156445018327590860e-204
2.142354668151671415e-01,1.093456985996807823e-01,2.629531082511433138e-68,1.513714102228023296e-204,3.803863809224410364e+00,3.252063093006317375e-66,2.467159610445533639e-202
2.157701583015128322e-01,1.094043790532318178e-01,1.505399167315658424e-67,3.059741317732630917e-202,3.778835192495062056e+00,1.848554739231196594e-65,4.951514905849532083e-200
2.173158436629310242e-01,1.094504463519472420e-01,8.448358212405036828e-67,5.822311542595123563e-200,3.753537618187263725e+00,1.030037304445454820e-64,9.355108090243247691e-198
2.188726016548525333e-01,1.094840281664315740e-01,4.648774850324082663e-66,1.043695738947978413e-197,3.727983602355453563e+00,5.627547077363558737e-64,1.665049963522162564e-195
