x,y
1.410243337893179127e+00,1.326138985681048881e-05
1.461484169920133747e+00,1.924434581770850515e-05
1.514586824510800733e+00,2.728224499284915563e-05
1.569618950513209654e+00,3.783397723046092863e-05
1.626650201645357452e+00,5.138555342738558075e-05
1.685754121876345879e+00,6.843191499720060241e-05
1.747005567975611129e+00,8.945591535778490717e-05
1.810482569747892123e+00,1.149053222993346395e-04
1.876265992190982335e+00,1.451692622174579033e-04
1.944439638511747726e+00,1.805561193692060452e-04
2.015090356885202105e+00,2.212738190651622049e-04
2.088308151092652221e+00,2.674141200371055790e-04
2.164186295179842290e+00,3.189418730639199820e-04
2.242821452281181571e+00,3.756902805899284921e-04
2.324313797761415223e+00,4.373603207169776338e-04
2.408767146831621186e+00,5.035279540309620105e-04
2.496289086802093493e+00,5.736544492323537294e-04
2.586991114140608783e+00,6.471026693064639698e-04
2.680988029671571127e+00,7.231519010201441309e-04
2.778401045995341434e+00,8.010262624670396771e-04
2.879353539423922914e+00,8.799075989208718579e-04
2.983974115955241757e+00,9.589627392373937902e-04
3.092396054453366627e+00,1.037363737640231362e-03
3.227715004822306000e+00,1.129451329822275677e-03
3.368955324254753858e+00,1.218132550963538707e-03
3.516376123625353234e+00,1.302221868646683553e-03
3.670247852140251954e+00,1.380677664988741666e-03
3.830852793486700492e+00,1.452625099523096718e-03
3.998485583693509593e+00,1.517366915167377671e-03
4.173452589059454709e+00,1.574383953115939851e-03
4.387282165286774394e+00,1.630685785633327048e-03
4.612067439870272345e+00,1.675740608828647001e-03
4.848369735189153928e+00,1.709554358722568859e-03
5.096779133342276502e+00,1.732373739004685297e-03
5.396297795539767961e+00,1.745569465456153638e-03
5.713418050166035655e+00,1.745911349314512809e-03
6.049174277028180668e+00,1.734506381017216284e-03
6.450541932277532808e+00,1.709183138744627952e-03
6.878540659356329634e+00,1.672421532652441358e-03
7.387481844152536503e+00,1.620438786344179961e-03
7.934079436377167838e+00,1.559130573891798167e-03
8.582161322819874982e+00,1.483679085853570031e-03
9.349676258975296861e+00,1.394934214823594695e-03
1.025880385721139554e+01,1.294675113578443431e-03
1.133696723089482639e+01,1.185473154862697357e-03
1.261819015826307755e+01,1.070458063142741946e-03
1.414481450432634446e+01,9.530199048276141380e-04
1.608412606932875732e+01,8.299591176789420169e-04
1.855229767744090097e+01,7.063712366870758801e-04
2.186240699693850686e+01,5.822236980017250893e-04
2.632073661271793696e+01,4.643108088200526050e-04
3.260606520120584406e+01,3.548896832574629742e-04
4.215982666910954180e+01,2.551064209707771787e-04
5.854628715763018931e+01,1.659844212184901160e-04
9.048984307950277639e+01,9.311810862052559065e-05
9.999999999999994316e+01,8.148310883142257158e-05
