x,y
7.405690143712005615e+08,2.654769936759248594e+02
8.750423116249823570e+08,2.514676476670732086e+02
1.033935002415630460e+09,2.362575168522822935e+02
1.221678003031149626e+09,2.129419707038811396e+02
1.443511574328348398e+09,2.040360190670313898e+02
1.705628543057026625e+09,1.880253519490009637e+02
2.015338360270737171e+09,1.774182754044572334e+02
2.381289275629751205e+09,1.621080726395313718e+02
2.813686276307525158e+09,1.549032655592956189e+02
3.324598377233108044e+09,1.439959928132670939e+02
3.928288478773231983e+09,1.358905971285769851e+02
4.641591214985067368e+09,1.278852537451017213e+02
5.484424650467314720e+09,1.218812511197252917e+02
6.480292222532100677e+09,1.156771144185389772e+02
7.656990471339927673e+09,1.108739064235618059e+02
9.047368745837549210e+09,1.058705840016948514e+02
1.069019943833764839e+10,1.019679744356321436e+02
1.263135649015134048e+10,9.786524061821958753e+01
1.492497143090171242e+10,9.456304310404657087e+01
1.763506337477807236e+10,9.166111374149333813e+01
2.083728872394837189e+10,8.905936093150478428e+01
2.462094543407615662e+10,8.645764741935644793e+01
2.909164249238724136e+10,8.425618240990776542e+01
3.437418631195514679e+10,8.215476970167395621e+01
4.061588706378743744e+10,7.975316079195533803e+01
4.799103624077954865e+10,7.785189198399146449e+01
5.670529886409883881e+10,7.575049892467777113e+01
6.700190642131753540e+10,7.384923011671389759e+01
7.916830461481306458e+10,7.214808556009982965e+01
9.354376828255064392e+10,7.034690835119103269e+01
1.105297138210120850e+11,6.894595999606178793e+01
1.305998150183305511e+11,6.014008030934698468e+01
1.543142662111880493e+11,4.753168265562453598e+01
1.823350929300096436e+11,4.252836023375758856e+01
2.154436900702655334e+11,3.902601881931463623e+01
2.545641809550609436e+11,3.622414175797624836e+01
3.007886745064105835e+11,3.372248054704277820e+01
3.554061970499577637e+11,3.162106783880895478e+01
4.199418728941003418e+11,2.951967477949526142e+01
4.961953579942653809e+11,2.691794161842681632e+01
5.862950307819019775e+11,2.361574410425379966e+01
6.927561627757678223e+11,1.961306258805610980e+01
8.185475523607482910e+11,1.541025682050858947e+01
9.671817628518616943e+11,1.754367866979578139e-06
1.142803640314345947e+12,1.754367866979578139e-06
1.350315122221509033e+12,1.754367866979578139e-06
1.595509212078309570e+12,1.754367866979578139e-06
1.885223445841014160e+12,1.754367866979578139e-06
2.227547722132323242e+12,1.754367866979578139e-06
2.632028170507039062e+12,1.754367866979578139e-06
3.109954602324390137e+12,1.754367866979578139e-06
3.674663416180465820e+12,1.754367866979578139e-06
4.341926013651860352e+12,1.754367866979578139e-06
5.130337486664253906e+12,1.754367866979578139e-06
6.061909540677580078e+12,1.754367866979578139e-06
7.162637423927174805e+12,1.754367866979578139e-06
8.463236629048708984e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
