x,y
0.000000000000000000e+00,1.000000346195234702e+00
8.305537429666516758e+00,1.020165488807554866e+00
9.106072341837897710e+00,1.031518259786962766e+00
9.806537933165547116e+00,1.048145539728195574e+00
1.050700745540888903e+01,1.071829270357987252e+00
1.120747304673653666e+01,1.102887483460990525e+00
1.200800795890791584e+01,1.147303031519391947e+00
1.290860826100733227e+01,1.207888086495663149e+00
1.390927395303478598e+01,1.286759005356763019e+00
1.511007435583401026e+01,1.394444567640046095e+00
1.651100946940499981e+01,1.533402291681461804e+00
1.841227546353186995e+01,1.736693027094642572e+00
2.141427647052992356e+01,2.073952242460920026e+00
2.881921359809702921e+01,2.909162496651497065e+00
3.312208432873803332e+01,3.377363589486930273e+00
3.762508190831942301e+01,3.852762319848654471e+00
4.262842216120377259e+01,4.366779264327640853e+00
4.863242417519988692e+01,4.969337221386520120e+00
5.633756140346679331e+01,5.728245868042915134e+00
6.274183283900644170e+01,6.347921163111195142e+00
6.634423404740410035e+01,6.683604675544422946e+00
6.924616180264273169e+01,6.941788660721278426e+00
7.194796663985667351e+01,7.169928761441635601e+00
7.444963283538315579e+01,7.369241208348619843e+00
7.685123364098160437e+01,7.548849176864690591e+00
7.905270366672398552e+01,7.702791980359315893e+00
8.125417369246635246e+01,7.846052770820345579e+00
8.335557046644929358e+01,7.972512809457605876e+00
8.535690971233559310e+01,8.083370015993285307e+00
8.735824109639048629e+01,8.184696870048883355e+00
8.925950709051737419e+01,8.271990812539865345e+00
9.116077308464423368e+01,8.350437689021427801e+00
9.296197368884307366e+01,8.416512165347336705e+00
9.476317429304189943e+01,8.474498033283584419e+00
9.656437489724073941e+01,8.524340360067371947e+00
9.826551011151153148e+01,8.563891949285954652e+00
9.996664532578232354e+01,8.596100859209789391e+00
1.016677805400531298e+02,8.620939141591138721e+00
1.033689157543239219e+02,8.638379811914935757e+00
1.050700431067633360e+02,8.648399740596847352e+00
1.067711861828655202e+02,8.650979652983252777e+00
1.083722481453768864e+02,8.646594669285773804e+00
1.099733101078882527e+02,8.635580168477314800e+00
1.115743877940624031e+02,8.617901456181366271e+00
1.132755151465018031e+02,8.591762134680987373e+00
1.149766582226040015e+02,8.557974630626057788e+00
1.166777855750434156e+02,8.516451244342633231e+00
1.183789286511455998e+02,8.467085965235824574e+00
1.200800560035849998e+02,8.409758326720536914e+00
1.217811833560243997e+02,8.344331478756103593e+00
1.234823264321265839e+02,8.270650260380921992e+00
1.251834537845659838e+02,8.188542163445132971e+00
1.268845968606681964e+02,8.097814441412584330e+00
1.286857896030356301e+02,7.992120914580444158e+00
1.304869980690658622e+02,7.876252298104787997e+00
1.322881908114333100e+02,7.749905016191177332e+00
1.340893992774635137e+02,7.612747544797429988e+00
1.358905920198309616e+02,7.464413665504854301e+00
1.376918004858611653e+02,7.304506320448976631e+00
1.394929932282286131e+02,7.132585083794686476e+00
1.412942016942588452e+02,6.948170016666962212e+00
1.431954598265543268e+02,6.739369139651509855e+00
1.450967336825125926e+02,6.515366343329675125e+00
1.469980075384708300e+02,6.275391123423186279e+00
1.488992656707663116e+02,6.018579011717399396e+00
1.508005395267245774e+02,5.743950855808655831e+00
1.527017976590200874e+02,5.450388243920929021e+00
1.545030061250502911e+02,5.153642422988636618e+00
1.563041988674177389e+02,4.837463414415065444e+00
1.581054073334479710e+02,4.500340085356774544e+00
1.599066000758153905e+02,4.140453872245163147e+00
1.617078085418456226e+02,3.755565542196474205e+00
1.634089358942850367e+02,3.366552436274112381e+00
1.651100789703872067e+02,2.949585300213490413e+00
1.667111409328985872e+02,2.527820221001681134e+00
1.682121375054819055e+02,2.102033485313041794e+00
1.696130844118000027e+02,1.672456388990954057e+00
1.706137383110803682e+02,1.354901652015590763e+00
1.707138194246711862e+02,1.000000346195234702e+00
