x,y
1.000000000000000000e+08,1.057705120515598907e+02
1.181582865970879793e+08,1.035690470421112224e+02
1.396135920287618339e+08,1.012675100825275649e+02
1.649647742916225195e+08,1.000667056276682700e+02
1.949195507917354703e+08,9.756504441673479278e+01
2.303132469706736207e+08,9.606404376039067472e+01
2.721341864266676307e+08,9.436291885269673685e+01
3.215485970138309002e+08,9.266177429608269733e+01
3.799357280288804770e+08,9.146096984122338824e+01
4.489255464090973139e+08,8.955970103325951470e+01
5.304419173017450571e+08,8.805870037691541086e+01
6.267610808764843941e+08,8.655769972057129280e+01
7.405690143712005615e+08,8.495662711409222823e+01
8.750423116249823570e+08,8.365577035801806005e+01
1.033935002415630460e+09,8.225482200288881529e+01
1.221678003031149626e+09,8.125418109721955773e+01
1.443511574328348398e+09,8.005335699344013278e+01
1.705628543057026625e+09,7.875250023736597882e+01
2.015338360270737171e+09,7.755169578250666973e+01
2.381289275629751205e+09,7.625081937751238570e+01
2.813686276307525158e+09,7.525017847184312814e+01
3.324598377233108044e+09,7.394930206684885832e+01
3.928288478773231983e+09,7.274849761198954923e+01
4.641591214985067368e+09,7.144764085591538105e+01
5.484424650467314720e+09,7.044696065240589178e+01
6.480292222532100677e+09,6.914608424741163617e+01
7.656990471339927673e+09,6.804535174268728781e+01
9.047368745837549210e+09,6.654437073526328561e+01
1.069019943833764839e+10,6.524349433026901579e+01
1.263135649015134048e+10,6.394261792527473176e+01
1.492497143090171242e+10,6.254168921906560286e+01
1.763506337477807236e+10,6.084056431137166499e+01
2.083728872394837189e+10,5.913941975475761126e+01
2.462094543407615662e+10,5.743827519814356464e+01
2.909164249238724136e+10,5.563709798923477479e+01
3.437418631195514679e+10,5.393595343262072817e+01
4.061588706378743744e+10,5.233488082614164938e+01
4.799103624077954865e+10,5.063375591844771861e+01
5.670529886409883881e+10,4.903268331196863983e+01
6.700190642131753540e+10,4.703134255386979845e+01
7.916830461481306458e+10,4.503002144469105872e+01
9.354376828255064392e+10,4.272848448510741548e+01
1.105297138210120850e+11,3.962641122228423995e+01
1.305998150183305511e+11,3.252167609218346911e+01
1.543142662111880493e+11,2.761840597153138077e+01
1.823350929300096436e+11,2.411606455708842844e+01
2.154436900702655334e+11,2.111406324440021720e+01
2.545641809550609436e+11,1.831220583198194163e+01
3.007886745064105835e+11,1.561040072077853225e+01
3.554061970499577637e+11,1.350898801254471238e+01
4.199418728941003418e+11,1.754367866979578139e-06
4.961953579942653809e+11,1.754367866979578139e-06
5.862950307819019775e+11,1.754367866979578139e-06
6.927561627757678223e+11,1.754367866979578139e-06
8.185475523607482910e+11,1.754367866979578139e-06
9.671817628518616943e+11,1.754367866979578139e-06
1.142803640314345947e+12,1.754367866979578139e-06
1.350315122221509033e+12,1.754367866979578139e-06
1.595509212078309570e+12,1.754367866979578139e-06
1.885223445841014160e+12,1.754367866979578139e-06
2.227547722132323242e+12,1.754367866979578139e-06
2.632028170507039062e+12,1.754367866979578139e-06
3.109954602324390137e+12,1.754367866979578139e-06
3.674663416180465820e+12,1.754367866979578139e-06
4.341926013651860352e+12,1.754367866979578139e-06
5.130337486664253906e+12,1.754367866979578139e-06
6.061909540677580078e+12,1.754367866979578139e-06
7.162637423927174805e+12,1.754367866979578139e-06
8.463236629048708984e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
