x,y
3.324597932270945072e+09,1.930286829423643837e+02
3.928284185071254730e+09,1.806204014258513553e+02
4.641588833612772942e+09,1.680119992020966890e+02
5.484416576121026039e+09,1.557038015000142366e+02
6.480286440412508011e+09,1.476984414319943824e+02
7.656988080124188423e+09,1.392928399494912810e+02
9.047357242349311829e+09,1.335890478809583612e+02
1.069019204603001213e+10,1.249833100506737793e+02
1.263133563976836777e+10,1.187791771126871936e+02
1.492495545051832199e+10,1.141761036758726817e+02
1.763505472047138596e+10,1.094729620651674509e+02
2.083725851142957687e+10,1.045697153877604251e+02
2.462092401494620514e+10,1.007671873420718072e+02
2.909163405623883438e+10,9.776517340642941178e+01
3.437414337286239624e+10,9.456302312300553581e+01
4.061585988376988220e+10,9.196131316400575884e+01
4.799095809323877716e+10,8.905936740225409665e+01
5.670523941381169128e+10,8.685789885773758101e+01
6.700187503509576416e+10,8.465643031322106538e+01
7.916819159263017273e+10,8.235489359481381655e+01
9.354368899026162720e+10,8.035356139807878151e+01
1.105295141126024323e+11,7.815209285356226587e+01
1.305996547906054840e+11,7.625082883071796402e+01
1.543141663868093262e+11,7.414942846009218158e+01
1.823348000868438721e+11,7.234823261113861292e+01
2.154434690031877747e+11,7.054703676218503006e+01
2.545640673860415039e+11,6.884590908712220880e+01
3.007882518043095703e+11,6.744495465265190148e+01
3.554059037181068115e+11,6.614409967315201300e+01
4.199411234979421387e+11,5.023347899208274470e+01
4.961947603002897949e+11,4.422948240187761826e+01
5.862946645916390381e+11,4.022681800840753397e+01
6.927550656129393311e+11,3.712473589887439829e+01
8.185467307069020996e+11,3.452299465879494278e+01
9.671798642975462646e+11,3.212142104757663219e+01
1.142802059810033203e+12,2.941961163360643994e+01
1.350314037869872070e+12,2.531687906624562601e+01
1.595506400444825684e+12,1.911274612825902608e+01
1.885221217040872314e+12,1.380919547420938009e+01
2.227542951999556152e+12,1.070714464575592118e+01
