x,y
2.408767146831621186e+00,1.231268434547461643e-05
2.496289086802093493e+00,1.945454142503800262e-05
2.586991114140608783e+00,2.982912706187165641e-05
2.680988029671571127e+00,4.445653255822611805e-05
2.778401045995341434e+00,6.450454682645151503e-05
2.879353539423922914e+00,9.125373696609326909e-05
2.983974115955241757e+00,1.260453055052944329e-04
3.092396054453366627e+00,1.702141404275467275e-04
3.204757476435891483e+00,2.250094162386173039e-04
3.321201522030535092e+00,2.915122356471625464e-04
3.441876532325053084e+00,3.705521950017955394e-04
3.566936238342782062e+00,4.626334394879235931e-04
3.696539956884596911e+00,5.678752464300626827e-04
3.830852793486700492e+00,6.859713552171238992e-04
3.970045852752836613e+00,8.161754224721930098e-04
4.114295310215402068e+00,9.573037070584595847e-04
4.263787181040322061e+00,1.107769754131326815e-03
4.418710800866648469e+00,1.265635627923090241e-03
4.579263530909075008e+00,1.428679034300061462e-03
4.745649903451715446e+00,1.594475923452264021e-03
4.918081882407053129e+00,1.760486410147791506e-03
5.096779133342276502e+00,1.924146657707631472e-03
5.281969303316942366e+00,2.082951108338043818e-03
5.473888310888453290e+00,2.234531847545589804e-03
5.672780646654828729e+00,2.376728279646017107e-03
5.878899684717617369e+00,2.507627831639889886e-03
6.092508005461728438e+00,2.625624149148959689e-03
6.313877730063385485e+00,2.729432655588206937e-03
6.543290867152367518e+00,2.818092125626949721e-03
6.781039672070070523e+00,2.890983397328003145e-03
7.077768536897463214e+00,2.957238403725800675e-03
7.387481844152536503e+00,3.000406978047656052e-03
7.710747774976853819e+00,3.021081571035498948e-03
8.048159373328521937e+00,3.020314287019677194e-03
8.400335633944427727e+00,2.999537345122598939e-03
8.830732330790196372e+00,2.952305477997241735e-03
9.283175512224564940e+00,2.883235628625344538e-03
9.758805088328168509e+00,2.795571414502561348e-03
1.025880385721139554e+01,2.692610265194087839e-03
1.086167542112854889e+01,2.560326837745524348e-03
1.149997549383082251e+01,2.416791850211129529e-03
1.226300826293322643e+01,2.246962305886343082e-03
1.307666887963725699e+01,2.073189961822596850e-03
1.404420773451596638e+01,1.880636237673379658e-03
1.508333450251815755e+01,1.693076737002814419e-03
1.631539122146395826e+01,1.496597406837606907e-03
1.777450984769363274e+01,1.297475950194770496e-03
1.950283679721182040e+01,1.102217266668094461e-03
2.155251477237833413e+01,9.168874757385015633e-04
2.398822579688967238e+01,7.465405264020824778e-04
2.689045028546427218e+01,5.948122267453578513e-04
3.057724032507723422e+01,4.569061162095294456e-04
3.526943659980634749e+01,3.380331388865562888e-04
4.156222538598503746e+01,2.370047718862305745e-04
5.003790282815409540e+01,1.573133848483333937e-04
6.243088114085353624e+01,9.567049570232395261e-05
8.130170593833820192e+01,5.238681605456356027e-05
9.999999999999994316e+01,3.252664812427761513e-05
