x,y
7.999999999999998779e-02,1.239293151808366744e+00
8.290677959754123860e-02,1.449361470635311067e+00
8.591917629044100446e-02,1.672565844523706602e+00
8.904102144791589679e-02,1.905966513730635636e+00
9.227630425402882919e-02,2.146232840469650682e+00
9.562914023580532108e-02,2.389759770362934077e+00
9.910379375610280095e-02,2.632809844503988028e+00
1.027047048277174857e-01,2.871627833894411452e+00
1.064364540847762691e-01,3.102572298416107266e+00
1.103037954993795616e-01,3.322227673288292937e+00
1.143116478170833061e-01,3.527493106213266838e+00
1.184651323875335338e-01,3.715660661719214719e+00
1.227695242106520007e-01,3.884466881741902800e+00
1.272303235628441109e-01,4.032126995678828152e+00
1.318532049218571756e-01,4.157341958064560750e+00
1.366440574960731680e-01,4.259299364229349294e+00
1.426234114044748480e-01,4.350493167907925951e+00
1.488644135236884269e-01,4.407931662115125881e+00
1.553784915737295158e-01,4.432602914586976972e+00
1.621776382610974621e-01,4.426161490350659200e+00
1.692743061510985636e-01,4.390789934038641817e+00
1.779471860695979457e-01,4.316408374314232077e+00
1.870644266698275326e-01,4.210703276735751288e+00
1.966487676722040445e-01,4.078456502632626268e+00
2.067241960518632071e-01,3.924493258338862312e+00
2.188726044928432368e-01,3.727954095194845774e+00
2.317349294973775620e-01,3.515741420144278262e+00
2.471107313890417156e-01,3.265637656287596169e+00
2.635066935953788159e-01,3.010547021240197463e+00
2.830034757591572414e-01,2.728638915990996505e+00
3.039428190569821719e-01,2.454668569813970525e+00
3.287698293993422949e-01,2.168219851006428556e+00
3.581723840366982103e-01,1.878425904078809605e+00
3.929996741423039675e-01,1.594690810180428242e+00
4.343025258614064410e-01,1.325751620709364254e+00
4.833842901652852797e-01,1.078848245012675733e+00
5.457487279483723697e-01,8.468155418612124397e-01
6.205729240612065656e-01,6.499080384686837242e-01
7.158022492560525141e-01,4.804411731352441484e-01
8.435160094260892860e-01,3.366108723161812533e-01
1.022806611564979651e+00,2.197627406507306480e-01
1.276126983498681255e+00,1.335453375972240064e-01
1.673763983946673806e+00,7.189196690372261223e-02
2.357733878015219275e+00,3.259271698310365478e-02
3.749690552186945691e+00,1.106590433923107519e-02
7.710747774976853819e+00,2.046119272915755422e-03
3.427665830263258329e+01,6.158921125835668364e-05
