x,y
1.000000000000000000e+08,1.784189556079667227e+02
1.181582865970879793e+08,1.676117351631530425e+02
1.396135920287618339e+08,1.636090732958754757e+02
1.649647742916225195e+08,1.529019444501169005e+02
1.949195507917354703e+08,1.477985304291948694e+02
2.303132469706736207e+08,1.422948679055731702e+02
2.721341864266676307e+08,1.320880595126492381e+02
3.215485970138309002e+08,1.262841811386226425e+02
3.799357280288804770e+08,1.238825918778241260e+02
4.489255464090973139e+08,1.176784453521777749e+02
5.304419173017450571e+08,1.114743184754515255e+02
6.267610808764843941e+08,1.079719770610085732e+02
7.405690143712005615e+08,1.041694590940009135e+02
8.750423116249823570e+08,1.003669214780731807e+02
1.033935002415630460e+09,9.666443616336027844e+01
1.221678003031149626e+09,9.296197049756749209e+01
1.443511574328348398e+09,9.086057743825379873e+01
1.705628543057026625e+09,8.875916473001997531e+01
2.015338360270737171e+09,8.745830797394580713e+01
2.381289275629751205e+09,8.575716341733176762e+01
2.813686276307525158e+09,8.345564610666824024e+01
3.324598377233108044e+09,7.725149958102187497e+01
3.928288478773231983e+09,6.934622814768157184e+01
4.641591214985067368e+09,6.234154531879565297e+01
5.484424650467314720e+09,5.763841909841351452e+01
6.480292222532100677e+09,5.423614963410553003e+01
7.656990471339927673e+09,5.083388016979754553e+01
9.047368745837549210e+09,4.823214700872910043e+01
1.069019943833764839e+10,4.553036154644580336e+01
1.263135649015134048e+10,4.342894883821197993e+01
1.492497143090171242e+10,4.202802013200285103e+01
1.763506337477807236e+10,4.042694752552377224e+01
2.083728872394837189e+10,3.892594686917966840e+01
2.462094543407615662e+10,3.782521436445532714e+01
2.909164249238724136e+10,3.662440990959602516e+01
3.437418631195514679e+10,3.562372970608653588e+01
4.061588706378743744e+10,3.472314110163214451e+01
4.799103624077954865e+10,3.382255249717774603e+01
5.670529886409883881e+10,3.292194424380323881e+01
6.700190642131753540e+10,3.212140794056369941e+01
7.916830461481306458e+10,3.132087163732416002e+01
9.354376828255064392e+10,3.042026338394965279e+01
1.105297138210120850e+11,2.931953087922531864e+01
1.305998150183305511e+11,2.811874607328611830e+01
1.543142662111880493e+11,2.671781736707698585e+01
1.823350929300096436e+11,2.521679706181276615e+01
2.154436900702655334e+11,2.331552825384888905e+01
2.545641809550609436e+11,2.101401094318535812e+01
3.007886745064105835e+11,1.881254593373668627e+01
3.554061970499577637e+11,1.631086507388309670e+01
4.199418728941003418e+11,1.440959626591921960e+01
4.961953579942653809e+11,1.260839940809031745e+01
5.862950307819019775e+11,1.150766690336597975e+01
6.927561627757678223e+11,1.754367866979578139e-06
8.185475523607482910e+11,1.754367866979578139e-06
9.671817628518616943e+11,1.754367866979578139e-06
1.142803640314345947e+12,1.754367866979578139e-06
1.350315122221509033e+12,1.754367866979578139e-06
1.595509212078309570e+12,1.754367866979578139e-06
1.885223445841014160e+12,1.754367866979578139e-06
2.227547722132323242e+12,1.754367866979578139e-06
2.632028170507039062e+12,1.754367866979578139e-06
3.109954602324390137e+12,1.754367866979578139e-06
3.674663416180465820e+12,1.754367866979578139e-06
4.341926013651860352e+12,1.754367866979578139e-06
5.130337486664253906e+12,1.754367866979578139e-06
6.061909540677580078e+12,1.754367866979578139e-06
7.162637423927174805e+12,1.754367866979578139e-06
8.463236629048708984e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
