x,y
1.000000000000000000e+08,1.640093348086265905e+02
1.181581732618099600e+08,1.534022647816069593e+02
1.396135390856795907e+08,1.430953992762595703e+02
1.649648074098020792e+08,1.351901386632101207e+02
1.949194029602850378e+08,1.271848098762699664e+02
2.303132058707000911e+08,1.208806087643926332e+02
2.721338768375308514e+08,1.145764076525153001e+02
3.215484176977702379e+08,1.086724479551212568e+02
3.799357365039413571e+08,1.045697153877604251e+02
4.489251258218607903e+08,9.986657377705519423e+01
5.304417279843925834e+08,9.656438660082025649e+01
6.267602560047398806e+08,9.326216814350564732e+01
7.405684692262442112e+08,9.046032183672440397e+01
8.750421749906793833e+08,8.805871694442640774e+01
1.033933849239397287e+09,8.585724839990990631e+01
1.221677348996793032e+09,8.365577985539339068e+01
1.443511638727917433e+09,8.165444765865834142e+01
1.705626983142532110e+09,7.995331998359550596e+01
2.015337685941735268e+09,7.815209285356226587e+01
2.381286194765586853e+09,7.665110152628089679e+01
2.813684267870683670e+09,7.515011019899954192e+01
3.324597932270945072e+09,7.384925521949965344e+01
3.928284185071254730e+09,5.633757503725828286e+01
4.641588833612772942e+09,4.943296488203652927e+01
5.484416576121026039e+09,4.523016414078497860e+01
6.480286440412508011e+09,4.212808203125184292e+01
7.656988080124188423e+09,3.952637207225206595e+01
9.047357242349311829e+09,3.732490352773555031e+01
1.069019204603001213e+10,3.542360822381156993e+01
1.263133563976836777e+10,3.382254872263946766e+01
1.492495545051832199e+10,3.232155739535810568e+01
1.763505472047138596e+10,3.092063424196748045e+01
2.083725851142957687e+10,2.951967980749718024e+01
2.462092401494620514e+10,2.801868848021582181e+01
2.909163405623883438e+10,2.631756080515298635e+01
3.437414337286239624e+10,2.441629678230867739e+01
