x,y
1.000000000000000000e+08,9.066043353798384885e+01
1.181582865970879793e+08,8.945964873204465562e+01
1.396135920287618339e+08,8.825882462826523067e+01
1.649647742916225195e+08,8.695796787219107671e+01
1.949195507917354703e+08,8.545696721584697286e+01
2.303132469706736207e+08,8.445630666125759944e+01
2.721341864266676307e+08,8.335555450761314944e+01
3.215485970138309002e+08,8.205469775153899548e+01
3.799357280288804770e+08,8.115408949816448114e+01
4.489255464090973139e+08,8.015342894357510772e+01
5.304419173017450571e+08,7.895262448871581284e+01
6.267610808764843941e+08,7.805203588426140016e+01
7.405690143712005615e+08,7.705135568075192509e+01
8.750423116249823570e+08,7.615076707629752661e+01
1.033935002415630460e+09,7.515008687278805155e+01
1.221678003031149626e+09,7.444964216860358874e+01
1.443511574328348398e+09,7.344896196509411368e+01
1.705628543057026625e+09,7.254837336063971520e+01
2.015338360270737171e+09,7.164776510726520087e+01
2.381289275629751205e+09,7.094730075416065063e+01
2.813686276307525158e+09,7.014676445092109702e+01
3.324598377233108044e+09,6.904603194619677708e+01
3.928288478773231983e+09,6.824549564295722348e+01
4.641591214985067368e+09,6.734490703850283921e+01
5.484424650467314720e+09,6.644427913620820902e+01
6.480292222532100677e+09,6.534354663148387488e+01
7.656990471339927673e+09,6.424281412675952652e+01
9.047368745837549210e+09,6.334222552230512804e+01
1.069019943833764839e+10,6.214142106744583316e+01
1.263135649015134048e+10,6.104068856272149901e+01
1.492497143090171242e+10,5.983988410786218992e+01
1.763506337477807236e+10,5.833890310043819483e+01
2.083728872394837189e+10,5.683788279517397513e+01
2.462094543407615662e+10,5.543695408896483912e+01
2.909164249238724136e+10,5.363575723113593341e+01
3.437418631195514679e+10,5.173448842317205987e+01
4.061588706378743744e+10,4.973314766507321139e+01
4.799103624077954865e+10,4.743163035440967690e+01
5.670529886409883881e+10,4.492994949455609088e+01
6.700190642131753540e+10,4.202802013200285103e+01
7.916830461481306458e+10,3.902601881931463623e+01
9.354376828255064392e+10,3.532353350460174113e+01
1.105297138210120850e+11,3.082055118448953834e+01
1.305998150183305511e+11,2.611740531518727693e+01
1.543142662111880493e+11,2.151433139601998334e+01
1.823350929300096436e+11,1.771181342901234501e+01
2.154436900702655334e+11,1.754367866979578139e-06
2.545641809550609436e+11,1.754367866979578139e-06
3.007886745064105835e+11,1.754367866979578139e-06
3.554061970499577637e+11,1.754367866979578139e-06
4.199418728941003418e+11,1.754367866979578139e-06
4.961953579942653809e+11,1.754367866979578139e-06
5.862950307819019775e+11,1.754367866979578139e-06
6.927561627757678223e+11,1.754367866979578139e-06
8.185475523607482910e+11,1.754367866979578139e-06
9.671817628518616943e+11,1.754367866979578139e-06
1.142803640314345947e+12,1.754367866979578139e-06
1.350315122221509033e+12,1.754367866979578139e-06
1.595509212078309570e+12,1.754367866979578139e-06
1.885223445841014160e+12,1.754367866979578139e-06
2.227547722132323242e+12,1.754367866979578139e-06
2.632028170507039062e+12,1.754367866979578139e-06
3.109954602324390137e+12,1.754367866979578139e-06
3.674663416180465820e+12,1.754367866979578139e-06
4.341926013651860352e+12,1.754367866979578139e-06
5.130337486664253906e+12,1.754367866979578139e-06
6.061909540677580078e+12,1.754367866979578139e-06
7.162637423927174805e+12,1.754367866979578139e-06
8.463236629048708984e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
