x,y
1.122260506274910252e+00,1.506069070702928948e-05
1.163037555559487846e+00,2.538847643282300787e-05
1.205296228530419844e+00,4.138270326367820645e-05
1.249090359606489731e+00,6.534351320814462923e-05
1.294475739266359726e+00,1.001274086895957141e-04
1.341510185121504550e+00,1.491399959228658333e-04
1.390253615571566792e+00,2.162760605997353001e-04
1.440768126135958171e+00,3.058033625114578088e-04
1.493118068558954903e+00,4.221869469331207959e-04
1.547370132789047004e+00,5.698640211737711824e-04
1.603592985226336198e+00,7.529836746276865429e-04
1.661859127379038625e+00,9.751266502650042653e-04
1.722242354947202125e+00,1.239033656271459113e-03
1.784819591689476015e+00,1.546357458779020139e-03
1.849670556369660934e+00,1.897465169778741068e-03
1.916877864312512170e+00,2.291309199490438112e-03
1.986527132649537952e+00,2.725371142676571382e-03
2.058707089388885247e+00,3.195681300319530224e-03
2.133509686448249454e+00,3.696939837605464803e-03
2.211030216794803493e+00,4.222673157804475788e-03
2.291367435841382694e+00,4.765464492061529181e-03
2.374623687253559101e+00,5.317244595244374240e-03
2.460905033327894120e+00,5.869557353562096340e-03
2.550321390107445296e+00,6.413866231544192512e-03
2.642985931153761126e+00,6.941851685888520210e-03
2.739018150919589889e+00,7.445631546077873322e-03
2.838539676899442643e+00,7.918043713579620349e-03
2.941677292144723843e+00,8.352741140453662921e-03
3.048562386336683527e+00,8.744405513398440313e-03
3.159331123167121280e+00,9.088773343034962926e-03
3.274124613800863504e+00,9.382691677349123266e-03
3.393089096640911517e+00,9.624110347568508653e-03
3.541565956325335662e+00,9.843194602133781626e-03
3.696539956884596911e+00,9.985497120183881373e-03
3.858295404167011888e+00,1.005298730345214470e-02
4.027129044849391271e+00,1.004921616746817271e-02
4.203349439909221275e+00,9.978945278321414009e-03
4.418710800866648469e+00,9.820613243926905322e-03
4.645106342173931147e+00,9.589760652283880679e-03
4.883101407286608797e+00,9.297212335093070490e-03
5.133290305402362641e+00,8.953927034882411609e-03
5.434954592733803658e+00,8.513177203895650608e-03
5.754346562864604664e+00,8.035162624733312164e-03
6.136152158415042024e+00,7.469823984591083578e-03
6.543290867152367518e+00,6.891545480468441731e-03
7.027427019181212486e+00,6.250939235386339388e-03
7.547384261615480483e+00,5.627095395351419498e-03
8.163879605429331221e+00,4.973709472921719783e-03
8.893991965769624031e+00,4.311657108932958130e-03
9.758805088328168509e+00,3.662545737737378255e-03
1.078442039042354139e+01,3.046529313124991725e-03
1.200319842701646422e+01,2.480380386431704255e-03
1.345541738389371922e+01,1.976163586226483554e-03
1.530020980139330433e+01,1.517926030977349329e-03
1.764808641384852805e+01,1.122960264503100949e-03
2.079686595185759757e+01,7.873100230633518423e-04
2.503790324484850416e+01,5.225661970571436306e-04
3.123908623556100750e+01,3.177908959717203508e-04
4.068166861505728349e+01,1.740104483278835754e-04
5.689830270214507379e+01,8.025682493929761640e-05
8.920718016064233780e+01,2.818880002415293464e-05
9.999999999999994316e+01,2.158926174960628264e-05
