mass_msun,model,case,status,wall_seconds,t_sf_myr,t_sf_myr_relative_error,t_sf_myr_absolute_error,t_quench_myr,t_quench_myr_relative_error,t_quench_myr_absolute_error,max_r_over_R0,max_r_over_R0_relative_error,max_r_over_R0_absolute_error
100000000.0,full_approx,baseline,completed_cycle,0.996366910636425,5.600218815824364,8.271241143502722e-05,0.00046316929297152143,297.4847867804595,7.893018342587978e-05,0.023478675610817845,5.634099744047684,0.00018355342811292622,0.0010339685338811577
100000000.0,full_approx,history_half,completed_cycle,0.8211787715554237,5.599836353178653,1.4412530180729187e-05,8.070664726034238e-05,297.46478892895925,1.1701771005932046e-05,0.003480824110567937,5.6332392911598,3.080305696969897e-05,0.00017351564599721314
100000000.0,full_approx,history_quarter,completed_cycle,0.8347201645374298,5.599756234720668,1.0503838242084583e-07,5.881892750636553e-07,297.46116100813737,4.945070411125856e-07,0.0001470967113164079,5.633060284748111,9.747384303168086e-07,5.4907656918956604e-06
100000000.0,full_approx,tolerance_tight,completed_cycle,1.1879774555563927,5.600217156404287,8.241607349056334e-05,0.00046150987289372836,297.48453078252794,7.806957424886916e-05,0.02322267767925723,5.63408654840123,0.00018121089440577422,0.0010207728874274125
100000000.0,full_approx,step_half,completed_cycle,1.3974498622119427,5.600215443422707,8.211017057482549e-05,0.0004597968913140349,297.483952660794,7.612605514840182e-05,0.022644555945305456,5.63407438345749,0.00017905133436775297,0.0010086079436870676
100000000.0,full_approx,combined_fine,completed_cycle,1.6904633827507496,5.599755646531393,0.0,0.0,297.4613081048487,0.0,0.0,5.633065775513803,0.0,0.0
1000000000.0,sn_only,baseline,completed_cycle,0.403726477175951,16.009047483793026,1.7654382505576828e-05,0.000282624858261471,182.86251428797897,1.2286131371116638e-05,0.0022466452708158613,2.0733032126543627,2.2391217668152064e-05,4.642274406485569e-05
1000000000.0,sn_only,history_half,completed_cycle,0.4204702861607075,16.008812348809776,2.9664921329339188e-06,4.7489875012018956e-05,182.86038759914953,6.560005786240432e-07,0.00011995644138096395,2.073254680582286,1.0173983377638221e-06,2.109328011812295e-06
1000000000.0,sn_only,history_quarter,completed_cycle,0.4471890814602375,16.008764442954043,2.5984560678725346e-08,4.159807218684364e-07,182.85997340300258,1.609095892512586e-06,0.0002942397055676338,2.073255763690778,4.949794569696064e-07,1.0262195200283486e-06
1000000000.0,sn_only,tolerance_tight,completed_cycle,0.6224474012851715,16.009045624448916,1.7538237123583075e-05,0.00028076551415168183,182.86301874683596,1.5044843602579223e-05,0.002751104127810322,2.073307352515965,2.4388009200470526e-05,5.056260566727033e-05
1000000000.0,sn_only,step_half,completed_cycle,0.6621260233223438,16.009040501508537,1.721822865168614e-05,0.0002756425737722168,182.86251749378997,1.2303662850422251e-05,0.0022498510818138584,2.073299244160178,2.047708228263779e-05,4.245424988003066e-05
1000000000.0,sn_only,combined_fine,completed_cycle,0.867147970944643,16.008764858934764,0.0,0.0,182.86026764270815,0.0,0.0,2.073256789910298,0.0,0.0
