fig5_f01 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.235s; cached=False
fig5_f01 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.202s; cached=False
fig5_f01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.192s; cached=False
fig5_f1 M=1e+08: launched_not_returned_by_tmax; SF=0.4786398155234906; quench=None; 1.502s; cached=False
fig5_f1 M=1.47e+08: launched_not_returned_by_tmax; SF=0.536569944774107; quench=None; 1.346s; cached=False
fig5_f1 M=2.15e+08: launched_not_returned_by_tmax; SF=0.6038758755641304; quench=None; 1.343s; cached=False
fig5_f1 M=3.16e+08: launched_not_returned_by_tmax; SF=0.6820941554839154; quench=None; 1.318s; cached=False
fig5_f1 M=4.64e+08: launched_not_returned_by_tmax; SF=0.7730763154048691; quench=None; 1.453s; cached=False
fig5_f1 M=6.81e+08: completed_cycle; SF=0.8789760114479276; quench=648.913846847788; 1.222s; cached=False
fig5_f1 M=1e+09: completed_cycle; SF=1.0023174988156132; quench=598.6892823065834; 1.142s; cached=False
fig5_f1 M=1.47e+09: completed_cycle; SF=1.1460623862820507; quench=549.3177438540185; 1.070s; cached=False
fig5_f1 M=2.15e+09: completed_cycle; SF=1.3136775962791207; quench=501.08085138571215; 1.014s; cached=False
fig5_f1 M=3.16e+09: completed_cycle; SF=1.5091848963461998; quench=575.0479009889642; 1.107s; cached=False
fig5_f1 M=4.64e+09: completed_cycle; SF=1.7373397456353075; quench=525.9408121640962; 1.020s; cached=False
fig5_f1 M=6.81e+09: completed_cycle; SF=2.0036563140878636; quench=478.30561858388586; 0.981s; cached=False
fig5_f1 M=1e+10: completed_cycle; SF=2.3145417109613433; quench=432.68320044497426; 0.848s; cached=False
fig5_f1 M=1.47e+10: completed_cycle; SF=2.677476225984674; quench=389.8756839421361; 0.799s; cached=False
fig5_f1 M=2.15e+10: completed_cycle; SF=3.101138389046601; quench=411.0447561732155; 0.821s; cached=False
fig5_f1 M=3.16e+10: completed_cycle; SF=3.595568716627454; quench=371.22141215640863; 0.749s; cached=False
