fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig8_f001_lowgas M=6.81e+09: numerical_failure; SF=None; quench=None; 0.177s; cached=False
fig8_f001_lowgas M=1e+10: numerical_failure; SF=None; quench=None; 0.198s; cached=False
fig8_f001_lowgas M=1.47e+10: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f001_lowgas M=2.15e+10: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_lowgas M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f001_lowgas M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f001_lowgas M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_lowgas M=1e+11: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_lowgas M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.245s; cached=False
fig8_f001_lowgas M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_lowgas M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.229s; cached=False
fig8_f001_lowgas M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.270s; cached=False
fig8_f001_lowgas M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f001_lowgas M=1e+12: not_launched_within_window; SF=None; quench=None; 0.269s; cached=False
fig8_f001_lowgas M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_lowgas M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.239s; cached=False
fig8_f001_lowgas M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig8_f001_lowgas M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f001_lowgas M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_lowgas M=1e+13: not_launched_within_window; SF=None; quench=None; 0.232s; cached=False
fig8_f01_c1 M=1e+08: numerical_failure; SF=None; quench=None; 0.101s; cached=False
fig8_f01_c1 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig8_f01_c1 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.097s; cached=False
fig8_f01_c1 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig8_f01_c1 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.101s; cached=False
fig8_f01_c1 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.097s; cached=False
fig8_f01_c1 M=1e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig8_f01_c1 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_c1 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.109s; cached=False
fig8_f01_c1 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_c1 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig8_f01_c1 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig8_f01_c1 M=1e+10: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig8_f01_c1 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.126s; cached=False
fig8_f01_c1 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.111s; cached=False
fig8_f01_c1 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.119s; cached=False
fig8_f01_c1 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.131s; cached=False
fig8_f01_c1 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_c1 M=1e+11: numerical_failure; SF=None; quench=None; 0.148s; cached=False
fig8_f01_c1 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f01_c1 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.148s; cached=False
fig8_f01_c1 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.175s; cached=False
fig8_f01_c1 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.167s; cached=False
fig8_f01_c1 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.177s; cached=False
fig8_f01_c1 M=1e+12: numerical_failure; SF=None; quench=None; 0.208s; cached=False
fig8_f01_c1 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.230s; cached=False
fig8_f01_c1 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f01_c1 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f01_c1 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.234s; cached=False
fig8_f01_c1 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f01_c1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f01_c01 M=1e+08: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig8_f01_c01 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig8_f01_c01 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.131s; cached=False
fig8_f01_c01 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_c01 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.100s; cached=False
fig8_f01_c01 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.100s; cached=False
fig8_f01_c01 M=1e+09: numerical_failure; SF=None; quench=None; 0.109s; cached=False
fig8_f01_c01 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig8_f01_c01 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig8_f01_c01 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig8_f01_c01 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig8_f01_c01 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_c01 M=1e+10: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_c01 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_c01 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig8_f01_c01 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.123s; cached=False
fig8_f01_c01 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f01_c01 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig8_f01_c01 M=1e+11: numerical_failure; SF=None; quench=None; 0.146s; cached=False
fig8_f01_c01 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.144s; cached=False
fig8_f01_c01 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.175s; cached=False
fig8_f01_c01 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.169s; cached=False
fig8_f01_c01 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.211s; cached=False
fig8_f01_c01 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.201s; cached=False
fig8_f01_c01 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig8_f01_c01 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f01_c01 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.232s; cached=False
fig8_f01_c01 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.242s; cached=False
fig8_f01_c01 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.236s; cached=False
fig8_f01_c01 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.234s; cached=False
fig8_f01_c01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f01_c005 M=1e+08: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig8_f01_c005 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.120s; cached=False
fig8_f01_c005 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig8_f01_c005 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.104s; cached=False
fig8_f01_c005 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.101s; cached=False
fig8_f01_c005 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig8_f01_c005 M=1e+09: numerical_failure; SF=None; quench=None; 0.116s; cached=False
fig8_f01_c005 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.109s; cached=False
fig8_f01_c005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.118s; cached=False
fig8_f01_c005 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig8_f01_c005 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.130s; cached=False
fig8_f01_c005 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.120s; cached=False
fig8_f01_c005 M=1e+10: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig8_f01_c005 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.126s; cached=False
fig8_f01_c005 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_c005 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.126s; cached=False
fig8_f01_c005 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f01_c005 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.143s; cached=False
fig8_f01_c005 M=1e+11: numerical_failure; SF=None; quench=None; 0.143s; cached=False
fig8_f01_c005 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.168s; cached=False
fig8_f01_c005 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.157s; cached=False
fig8_f01_c005 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.173s; cached=False
fig8_f01_c005 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.196s; cached=False
fig8_f01_c005 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.223s; cached=False
fig8_f01_c005 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f01_c005 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.235s; cached=False
fig8_f01_c005 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig8_f01_c005 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f01_c005 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.244s; cached=False
fig8_f01_c005 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.236s; cached=False
fig8_f01_c005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f01_c0005 M=1e+08: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_c0005 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_c0005 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_c0005 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f01_c0005 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.112s; cached=False
fig8_f01_c0005 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.111s; cached=False
fig8_f01_c0005 M=1e+09: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig8_f01_c0005 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_c0005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f01_c0005 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.117s; cached=False
fig8_f01_c0005 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_c0005 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.129s; cached=False
fig8_f01_c0005 M=1e+10: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f01_c0005 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.136s; cached=False
fig8_f01_c0005 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.160s; cached=False
fig8_f01_c0005 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.161s; cached=False
fig8_f01_c0005 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.192s; cached=False
fig8_f01_c0005 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.209s; cached=False
fig8_f01_c0005 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.237s; cached=False
fig8_f01_c0005 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig8_f01_c0005 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.238s; cached=False
fig8_f01_c0005 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.230s; cached=False
fig8_f01_c0005 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f01_c0005 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f01_c0005 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f01_c0005 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f01_c0005 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f01_c0005 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig8_f01_c0005 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig8_f01_c0005 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.234s; cached=False
fig8_f01_c0005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f01_lowgas M=1e+08: completed_cycle; SF=1.369589399878115; quench=272.46562918784815; 0.800s; cached=False
fig8_f01_lowgas M=1.47e+08: completed_cycle; SF=1.597244234967523; quench=252.48127664504875; 0.736s; cached=False
fig8_f01_lowgas M=2.15e+08: completed_cycle; SF=1.8679537651870488; quench=233.7276041736056; 0.703s; cached=False
fig8_f01_lowgas M=3.16e+08: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_lowgas M=4.64e+08: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig8_f01_lowgas M=6.81e+08: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig8_f01_lowgas M=1e+09: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_lowgas M=1.47e+09: numerical_failure; SF=None; quench=None; 0.098s; cached=False
fig8_f01_lowgas M=2.15e+09: numerical_failure; SF=None; quench=None; 0.114s; cached=False
fig8_f01_lowgas M=3.16e+09: numerical_failure; SF=None; quench=None; 0.117s; cached=False
fig8_f01_lowgas M=4.64e+09: numerical_failure; SF=None; quench=None; 0.111s; cached=False
fig8_f01_lowgas M=6.81e+09: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig8_f01_lowgas M=1e+10: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_lowgas M=1.47e+10: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f01_lowgas M=2.15e+10: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f01_lowgas M=3.16e+10: numerical_failure; SF=None; quench=None; 0.139s; cached=False
fig8_f01_lowgas M=4.64e+10: numerical_failure; SF=None; quench=None; 0.132s; cached=False
fig8_f01_lowgas M=6.81e+10: numerical_failure; SF=None; quench=None; 0.143s; cached=False
fig8_f01_lowgas M=1e+11: numerical_failure; SF=None; quench=None; 0.148s; cached=False
fig8_f01_lowgas M=1.47e+11: numerical_failure; SF=None; quench=None; 0.150s; cached=False
fig8_f01_lowgas M=2.15e+11: numerical_failure; SF=None; quench=None; 0.163s; cached=False
fig8_f01_lowgas M=3.16e+11: numerical_failure; SF=None; quench=None; 0.184s; cached=False
fig8_f01_lowgas M=4.64e+11: numerical_failure; SF=None; quench=None; 0.217s; cached=False
fig8_f01_lowgas M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.270s; cached=False
fig8_f01_lowgas M=1e+12: not_launched_within_window; SF=None; quench=None; 0.234s; cached=False
fig8_f01_lowgas M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.279s; cached=False
fig8_f01_lowgas M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f01_lowgas M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.241s; cached=False
fig8_f01_lowgas M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.237s; cached=False
fig8_f01_lowgas M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.229s; cached=False
fig8_f01_lowgas M=1e+13: not_launched_within_window; SF=None; quench=None; 0.243s; cached=False
Total elapsed 41.896s; cache hits 2; /home/zhuhourui/AstroCode/AuroraLF/miniquench_reproduction/data/curves/summary_full_full_approx_12458.json
