fig8_f001_c005 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.092s; cached=False
fig8_f001_c005 M=1.78e+09: completed_cycle; SF=24.53242305332562; quench=5.1630780792066844e-05; 0.081s; cached=False
fig8_f001_c005 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig8_f001_c005 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.131s; cached=False
fig8_f001_c005 M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.130s; cached=False
fig8_f001_c005 M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.126s; cached=False
fig8_f001_c005 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.141s; cached=False
fig8_f001_c005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.127s; cached=False
fig8_f001_c0005 M=1e+08: numerical_failure; SF=None; quench=None; 0.078s; cached=False
fig8_f001_c0005 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.094s; cached=False
fig8_f001_c0005 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f001_c0005 M=7.5e+09: not_launched_within_window; SF=None; quench=None; 0.128s; cached=False
fig8_f001_c0005 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.130s; cached=False
fig8_f001_c0005 M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.132s; cached=False
fig8_f001_c0005 M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.131s; cached=False
fig8_f001_c0005 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.129s; cached=False
fig8_f001_c0005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.130s; cached=False
fig8_f001_lowgas M=1e+08: completed_cycle; SF=6.723444942725445; quench=119.93347338560196; 0.258s; cached=False
fig8_f001_lowgas M=4.22e+08: completed_cycle; SF=13.046636071837067; quench=73.21662779197611; 0.192s; cached=False
fig8_f001_lowgas M=1.78e+09: numerical_failure; SF=None; quench=None; 0.094s; cached=False
fig8_f001_lowgas M=7.5e+09: numerical_failure; SF=None; quench=None; 0.116s; cached=False
fig8_f001_lowgas M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.129s; cached=False
fig8_f001_lowgas M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.127s; cached=False
fig8_f001_lowgas M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.132s; cached=False
fig8_f001_lowgas M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.131s; cached=False
fig8_f001_lowgas M=1e+13: not_launched_within_window; SF=None; quench=None; 0.128s; cached=False
fig8_f01_c1 M=1e+08: numerical_failure; SF=None; quench=None; 0.061s; cached=False
fig8_f01_c1 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.067s; cached=False
fig8_f01_c1 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.077s; cached=False
